lnc_id	gene_id	Stg.I	Stg.II	stage	score	lnc_name	gene_name
ENSG00000232043	ENSG00000149532	0	0.4889677	Stg II	0.651956933333333	AL133230.1	CPSF7
ENSG00000258441	ENSG00000149532	0	0.3800512	Stg II	0.506734933333333	LINC00641	CPSF7
ENSG00000245532	ENSG00000121671	-0.4934248	0	Stg I	0.657899733333333	NEAT1	CRY2
ENSG00000260060	ENSG00000101811	-0.5691392	0	Stg I	0.758852266666667	AC009088.1	CSTF2
ENSG00000250075	ENSG00000101811	-0.5389234	0	Stg I	0.718564533333333	AC104806.2	CSTF2
ENSG00000230612	ENSG00000101811	-0.5330796	0	Stg I	0.7107728	AC004039.1	CSTF2
ENSG00000206417	ENSG00000101811	-0.4733736	0	Stg I	0.6311648	H1-10-AS1	CSTF2
ENSG00000257303	ENSG00000101811	-0.5455897	0	Stg I	0.727452933333333	AC073896.2	CSTF2
ENSG00000258057	ENSG00000101811	-0.5518808	0	Stg I	0.735841066666667	BCDIN3D-AS1	CSTF2
ENSG00000214719	ENSG00000101811	-0.7387181	0.172509	Stg I	0.754945466666667	AC005562.1	CSTF2
ENSG00000224032	ENSG00000101811	-0.5560016	0	Stg I	0.741335466666667	EPB41L4A-AS1	CSTF2
ENSG00000268006	ENSG00000101811	-0.5742508	0	Stg I	0.765667733333333	PTOV1-AS1	CSTF2
ENSG00000258302	ENSG00000101811	-0.538654	0	Stg I	0.718205333333333	AC025034.1	CSTF2
ENSG00000258441	ENSG00000101811	-0.6009875	0	Stg I	0.801316666666667	LINC00641	CSTF2
ENSG00000233429	ENSG00000101811	0.5784387	0	Stg I	0.7712516	HOTAIRM1	CSTF2
ENSG00000272368	ENSG00000101811	-0.6827779	0	Stg I	0.910370533333333	AC074032.1	CSTF2
ENSG00000260464	ENSG00000101811	-0.4627486	0	Stg I	0.616998133333333	AL049796.1	CSTF2
ENSG00000233006	ENSG00000101811	-0.5205975	0	Stg I	0.69413	MIR3936HG	CSTF2
ENSG00000234327	ENSG00000101811	-0.627493	0	Stg I	0.836657333333333	ZNF232-AS1	CSTF2
ENSG00000263731	ENSG00000101811	-0.5343207	0	Stg I	0.7124276	AC145207.5	CSTF2
ENSG00000260464	ENSG00000177613	0	0.4765754	Stg II	0.635433866666667	AL049796.1	CSTF2T
ENSG00000245694	ENSG00000172992	-0.5138325	0	Stg I	0.68511	CRNDE	DCAKD
ENSG00000245694	ENSG00000151065	-0.4698848	0	Stg I	0.626513066666667	CRNDE	DCP1B
ENSG00000251562	ENSG00000150401	0	0.5346235	Stg II	0.712831333333333	MALAT1	DCUN1D2
ENSG00000233429	ENSG00000128191	0	0.4897435	Stg II	0.652991333333333	HOTAIRM1	DGCR8
ENSG00000237950	ENSG00000128191	0	0.5189738	Stg II	0.691965066666667	AL357079.1	DGCR8
ENSG00000259826	ENSG00000128191	0	0.4956794	Stg II	0.660905866666667	AC072061.1	DGCR8
ENSG00000214770	ENSG00000128191	0	0.4953391	Stg II	0.660452133333333	AL161756.1	DGCR8
ENSG00000258441	ENSG00000128191	0	0.4598266	Stg II	0.613102133333333	LINC00641	DGCR8
ENSG00000245532	ENSG00000132535	-0.467073	0	Stg I	0.622764	NEAT1	DLG4
ENSG00000245694	ENSG00000175283	-0.5222416	0	Stg I	0.696322133333333	CRNDE	DOLK
ENSG00000245694	ENSG00000117543	-0.754826	-0.286608	Stg I	0.624290666666667	CRNDE	DPH5
ENSG00000245532	ENSG00000179085	-0.4861512	0	Stg I	0.6482016	NEAT1	DPM3
ENSG00000245532	ENSG00000171587	-0.4405215	0	Stg I	0.587362	NEAT1	DSCAM
ENSG00000264575	ENSG00000101412	-0.5616867	0	Stg I	0.7489156	LINC00526	E2F1
ENSG00000242808	ENSG00000169016	0.6637386	0	Stg I	0.8849848	SOX2-OT	E2F6
ENSG00000175611	ENSG00000169016	0.7434233	0.2176824	Stg I	0.700987866666667	LINC00476	E2F6
ENSG00000238197	ENSG00000164330	0	0.536581	Stg II	0.715441333333333	PAXBP1-AS1	EBF1
ENSG00000175611	ENSG00000164330	0	0.4334105	Stg II	0.577880666666667	LINC00476	EBF1
ENSG00000253738	ENSG00000120690	0	0.6052536	Stg II	0.8070048	OTUD6B-AS1	ELF1
ENSG00000238197	ENSG00000120690	0	0.4121893	Stg II	0.549585733333333	PAXBP1-AS1	ELF1
ENSG00000245532	ENSG00000214595	-0.4786933	0	Stg I	0.638257733333333	NEAT1	EML6
ENSG00000245532	ENSG00000167136	-0.5238205	0	Stg I	0.698427333333333	NEAT1	ENDOG
ENSG00000177640	ENSG00000100393	0	0.3983353	Stg II	0.531113733333333	CASC2	EP300
ENSG00000255198	ENSG00000100393	0	-0.4241803	Stg II	0.565573733333333	SNHG9	EP300
ENSG00000238197	ENSG00000157554	0	0.5062205	Stg II	0.674960666666667	PAXBP1-AS1	ERG
ENSG00000180769	ENSG00000157554	0	0.7438074	Stg II	0.9917432	WDFY3-AS2	ERG
ENSG00000233429	ENSG00000157554	0.749287	0	Stg I	0.999049333333333	HOTAIRM1	ERG
ENSG00000227354	ENSG00000157554	0	0.4295672	Stg II	0.572756266666667	RBM26-AS1	ERG
ENSG00000175611	ENSG00000173153	-0.5069041	0	Stg I	0.675872133333333	LINC00476	ESRRA
ENSG00000264575	ENSG00000173153	-0.6561189	0	Stg I	0.8748252	LINC00526	ESRRA
ENSG00000245532	ENSG00000143845	-0.5553457	0	Stg I	0.740460933333333	NEAT1	ETNK2
ENSG00000253738	ENSG00000134954	0	0.3780826	Stg II	0.504110133333333	OTUD6B-AS1	ETS1
ENSG00000227354	ENSG00000134954	0	0.457858	Stg II	0.610477333333333	RBM26-AS1	ETS1
ENSG00000245694	ENSG00000157036	-0.614451	0	Stg I	0.819268	CRNDE	EXOG
ENSG00000231028	ENSG00000106462	-0.553873	0	Stg I	0.738497333333333	LINC00271	EZH2
ENSG00000214719	ENSG00000106462	-0.6651916	0	Stg I	0.886922133333333	AC005562.1	EZH2
ENSG00000245573	ENSG00000106462	-0.5298799	0	Stg I	0.706506533333333	BDNF-AS	EZH2
ENSG00000242808	ENSG00000106462	-0.6668226	0	Stg I	0.8890968	SOX2-OT	EZH2
ENSG00000245694	ENSG00000219626	-0.5812274	0	Stg I	0.774969866666667	CRNDE	FAM228B
ENSG00000268388	ENSG00000022267	0	0.8252706	Stg II	1.1003608	FENDRR	FHL1
ENSG00000253738	ENSG00000102081	0	0.6077717	Stg II	0.810362266666667	OTUD6B-AS1	FMR1
ENSG00000269893	ENSG00000102081	-0.5324616	0	Stg I	0.7099488	SNHG8	FMR1
ENSG00000255435	ENSG00000102081	0	0.385976	Stg II	0.514634666666667	AP001267.3	FMR1
ENSG00000182165	ENSG00000170345	-0.5094785	0	Stg I	0.679304666666667	TP53TG1	FOS
ENSG00000233429	ENSG00000170345	0.6091745	0	Stg I	0.812232666666667	HOTAIRM1	FOS
ENSG00000264575	ENSG00000075426	-0.5957698	0	Stg I	0.794359733333333	LINC00526	FOSL2
ENSG00000152931	ENSG00000075426	-0.6001083	0	Stg I	0.8001444	PART1	FOSL2
ENSG00000235823	ENSG00000075426	-0.5745515	0	Stg I	0.766068666666667	OLMALINC	FOSL2
ENSG00000255198	ENSG00000075426	-0.4461006	0	Stg I	0.5948008	SNHG9	FOSL2
ENSG00000247092	ENSG00000125798	0.8959479	0.2579587	Stg I	0.850652266666667	SNHG10	FOXA2
ENSG00000223806	ENSG00000125798	0	0.736736	Stg II	0.982314666666667	LINC00114	FOXA2
ENSG00000235823	ENSG00000128573	0.5970161	0	Stg I	0.796021466666667	OLMALINC	FOXP2
ENSG00000247400	ENSG00000089280	-0.4995242	0	Stg I	0.666032266666667	DNAJC3-DT	FUS
ENSG00000259943	ENSG00000089280	0	0.4339957	Stg II	0.578660933333333	AL050341.2	FUS
ENSG00000267651	ENSG00000089280	-0.5091762	0	Stg I	0.6789016	AC015961.1	FUS
ENSG00000236901	ENSG00000089280	0	0.4224983	Stg II	0.563331066666667	MIR600HG	FUS
ENSG00000267080	ENSG00000089280	0	0.469745	Stg II	0.626326666666667	ASB16-AS1	FUS
ENSG00000232043	ENSG00000089280	0	0.4149551	Stg II	0.553273466666667	AL133230.1	FUS
ENSG00000257167	ENSG00000089280	0	0.4214882	Stg II	0.561984266666667	TMPO-AS1	FUS
ENSG00000248671	ENSG00000089280	0	0.4695128	Stg II	0.626017066666667	ALG1L9P	FUS
ENSG00000261098	ENSG00000089280	0	0.4140193	Stg II	0.552025733333333	AP000766.1	FUS
ENSG00000233429	ENSG00000089280	0	0.4673875	Stg II	0.623183333333333	HOTAIRM1	FUS
ENSG00000255857	ENSG00000089280	0	0.4190665	Stg II	0.558755333333333	PXN-AS1	FUS
ENSG00000268471	ENSG00000089280	0	0.3822265	Stg II	0.509635333333333	MIR4453HG	FUS
ENSG00000231607	ENSG00000129245	0.4674866	0	Stg I	0.623315466666667	DLEU2	FXR2
ENSG00000226816	ENSG00000129245	0	0.4375516	Stg II	0.583402133333333	AC005082.1	FXR2
ENSG00000245694	ENSG00000129245	-0.589706	0	Stg I	0.786274666666667	CRNDE	FXR2
ENSG00000163597	ENSG00000129245	0	0.4275454	Stg II	0.570060533333333	SNHG16	FXR2
ENSG00000255435	ENSG00000129245	0.80194	0.4099967	Stg I	0.522591066666667	AP001267.3	FXR2
ENSG00000254635	ENSG00000129245	0	0.4007991	Stg II	0.5343988	WAC-AS1	FXR2
ENSG00000230612	ENSG00000129245	0.7590147	0.3162013	Stg I	0.590417866666667	AC004039.1	FXR2
ENSG00000197989	ENSG00000129245	-0.5409655	0	Stg I	0.721287333333333	SNHG12	FXR2
ENSG00000234912	ENSG00000129245	0.7107271	0.1926422	Stg I	0.690779866666666	SNHG20	FXR2
ENSG00000233098	ENSG00000129245	0	0.378546	Stg II	0.504728	CCDC144NL-AS1	FXR2
ENSG00000249464	ENSG00000129245	0.7571314	0.2309673	Stg I	0.701552133333333	LINC01091	FXR2
ENSG00000228223	ENSG00000129245	0	0.3781818	Stg II	0.5042424	HCG11	FXR2
ENSG00000267219	ENSG00000129245	0.7349945	0.2973365	Stg I	0.583544	AC010504.1	FXR2
ENSG00000240449	ENSG00000129245	0.7480224	0.2676971	Stg I	0.640433733333333	REPIN1-AS1	FXR2
ENSG00000267254	ENSG00000129245	0.8557266	0.2497326	Stg I	0.807992	ZNF790-AS1	FXR2
ENSG00000234741	ENSG00000129245	-0.4853144	0	Stg I	0.647085866666667	GAS5	FXR2
ENSG00000261824	ENSG00000129245	0.8033881	0.3753744	Stg I	0.570684933333333	LINC00662	FXR2
ENSG00000244459	ENSG00000129245	-0.6573889	0	Stg I	0.876518533333333	AC147067.1	FXR2
ENSG00000245532	ENSG00000089356	0.8520941	0.4717219	Stg I	0.507162933333333	NEAT1	FXYD3
ENSG00000268388	ENSG00000115339	0.5134704	0	Stg I	0.6846272	FENDRR	GALNT3
ENSG00000242808	ENSG00000141448	-0.4712071	0	Stg I	0.628276133333333	SOX2-OT	GATA6
ENSG00000251562	ENSG00000164404	0	0.4349315	Stg II	0.579908666666667	MALAT1	GDF9
ENSG00000245532	ENSG00000105737	-0.4730019	0	Stg I	0.6306692	NEAT1	GRIK5
ENSG00000245694	ENSG00000170899	-0.745417	-0.2247865	Stg I	0.694174	CRNDE	GSTA4
ENSG00000253738	ENSG00000137947	0	0.3760572	Stg II	0.5014096	OTUD6B-AS1	GTF2B
ENSG00000227354	ENSG00000137947	-0.6747853	0	Stg I	0.899713733333333	RBM26-AS1	GTF2B
ENSG00000235823	ENSG00000137947	-0.4959667	0	Stg I	0.661288933333333	OLMALINC	GTF2B
ENSG00000245694	ENSG00000163754	-0.6417424	-0.2464589	Stg I	0.527044666666667	CRNDE	GYG1
ENSG00000245694	ENSG00000130956	-0.6291131	-0.2291337	Stg I	0.533305866666667	CRNDE	HABP4
ENSG00000227848	ENSG00000164683	0.8122845	0	Stg I	1.083046	SUCLA2-AS1	HEY1
ENSG00000245694	ENSG00000164683	-0.4455109	0	Stg I	0.594014533333333	CRNDE	HEY1
ENSG00000231074	ENSG00000164683	0	0.3823738	Stg II	0.509831733333333	HCG18	HEY1
ENSG00000234456	ENSG00000164683	0	0.4517801	Stg II	0.602373466666667	MAGI2-AS3	HEY1
ENSG00000183242	ENSG00000164683	0	0.4019176	Stg II	0.535890133333333	WT1-AS	HEY1
ENSG00000245694	ENSG00000159399	0.851613	0.3553945	Stg I	0.661624666666667	CRNDE	HK2
ENSG00000253738	ENSG00000101076	0.6697175	0	Stg I	0.892956666666667	OTUD6B-AS1	HNF4A
ENSG00000259943	ENSG00000122566	0	0.3997462	Stg II	0.532994933333333	AL050341.2	HNRNPA2B1
ENSG00000272368	ENSG00000122566	-0.6483502	0	Stg I	0.864466933333333	AC074032.1	HNRNPA2B1
ENSG00000227946	ENSG00000122566	0	0.3814202	Stg II	0.508560266666667	AC007383.1	HNRNPA2B1
ENSG00000228862	ENSG00000122566	-0.5377935	0	Stg I	0.717058	AC068389.1	HNRNPA2B1
ENSG00000233862	ENSG00000122566	-0.5492766	0	Stg I	0.7323688	AC016907.2	HNRNPA2B1
ENSG00000259959	ENSG00000122566	0	0.4724416	Stg II	0.629922133333333	AC107068.1	HNRNPA2B1
ENSG00000224046	ENSG00000122566	-0.5749028	0	Stg I	0.766537066666667	AC005076.1	HNRNPA2B1
ENSG00000268471	ENSG00000122566	0	0.3955578	Stg II	0.5274104	MIR4453HG	HNRNPA2B1
ENSG00000231889	ENSG00000122566	0	0.3810608	Stg II	0.508081066666667	TRAF3IP2-AS1	HNRNPA2B1
ENSG00000232739	ENSG00000122566	0.5085407	0	Stg I	0.678054266666667	AL607028.1	HNRNPA2B1
ENSG00000260060	ENSG00000122566	-0.500758	0	Stg I	0.667677333333333	AC009088.1	HNRNPA2B1
ENSG00000188693	ENSG00000122566	-0.5320582	0	Stg I	0.709410933333333	CYP51A1-AS1	HNRNPA2B1
ENSG00000227908	ENSG00000122566	-0.6347715	0	Stg I	0.846362	FLJ31104	HNRNPA2B1
ENSG00000242593	ENSG00000122566	-0.491119	0	Stg I	0.654825333333333	AC006148.1	HNRNPA2B1
ENSG00000179523	ENSG00000122566	0	0.4274714	Stg II	0.569961866666667	EIF3J-DT	HNRNPA2B1
ENSG00000234684	ENSG00000122566	0	0.4257849	Stg II	0.5677132	SDCBP2-AS1	HNRNPA2B1
ENSG00000228812	ENSG00000122566	-0.4857247	0	Stg I	0.647632933333333	LAMA5-AS1	HNRNPA2B1
ENSG00000270116	ENSG00000122566	-0.466645	0	Stg I	0.622193333333333	AP001429.1	HNRNPA2B1
ENSG00000255458	ENSG00000122566	-0.4971999	0	Stg I	0.6629332	AC108471.2	HNRNPA2B1
ENSG00000262294	ENSG00000122566	-0.5171347	0	Stg I	0.689512933333333	AC129507.2	HNRNPA2B1
ENSG00000229839	ENSG00000122566	0.644937	0.2182811	Stg I	0.568874533333333	AC018462.1	HNRNPA2B1
ENSG00000250007	ENSG00000122566	-0.4655005	0	Stg I	0.620667333333333	AC087457.1	HNRNPA2B1
ENSG00000264107	ENSG00000122566	-0.5092379	0	Stg I	0.678983866666667	AC138207.2	HNRNPA2B1
ENSG00000244184	ENSG00000122566	-0.5334201	0	Stg I	0.7112268	AC091153.3	HNRNPA2B1
ENSG00000272368	ENSG00000092199	-0.5358791	0	Stg I	0.714505466666667	AC074032.1	HNRNPC
ENSG00000245694	ENSG00000118096	-0.524499	0	Stg I	0.699332	CRNDE	IFT46
ENSG00000267321	ENSG00000073792	-0.634763	-0.178134	Stg I	0.608838666666667	SNHG30	IGF2BP2
ENSG00000262049	ENSG00000073792	-0.4947566	0	Stg I	0.659675466666667	AC139530.1	IGF2BP2
ENSG00000261351	ENSG00000073792	-0.5334112	0	Stg I	0.711214933333333	AC116913.1	IGF2BP2
ENSG00000228172	ENSG00000073792	-0.6098398	0	Stg I	0.813119733333333	AL020996.1	IGF2BP2
ENSG00000260257	ENSG00000073792	-0.5887521	-0.1928947	Stg I	0.527809866666667	AL035071.1	IGF2BP2
ENSG00000260274	ENSG00000073792	-0.5925379	-0.1651297	Stg I	0.5698776	AC068338.2	IGF2BP2
ENSG00000260948	ENSG00000073792	-0.4723125	0	Stg I	0.62975	AL390195.2	IGF2BP2
ENSG00000261799	ENSG00000073792	-0.5953155	0	Stg I	0.793754	AC007406.4	IGF2BP2
ENSG00000234912	ENSG00000073792	-0.6522742	0	Stg I	0.869698933333333	SNHG20	IGF2BP2
ENSG00000224424	ENSG00000073792	-0.7205402	0	Stg I	0.960720266666667	PRKAR2A-AS1	IGF2BP2
ENSG00000226419	ENSG00000073792	0.6677902	0	Stg I	0.890386933333333	SLC16A1-AS1	IGF2BP2
ENSG00000260774	ENSG00000073792	0	0.4461046	Stg II	0.594806133333333	AC021087.3	IGF2BP2
ENSG00000263753	ENSG00000073792	-0.4827626	0	Stg I	0.643683466666667	LINC00667	IGF2BP2
ENSG00000260022	ENSG00000073792	0.5665393	0	Stg I	0.755385733333333	AL031716.1	IGF2BP2
ENSG00000260804	ENSG00000073792	-0.7810362	-0.2318835	Stg I	0.7322036	LINC01963	IGF2BP2
ENSG00000226686	ENSG00000073792	-0.5078582	0	Stg I	0.677144266666667	LINC01535	IGF2BP2
ENSG00000258441	ENSG00000073792	-0.7027361	0	Stg I	0.936981466666667	LINC00641	IGF2BP2
ENSG00000224078	ENSG00000073792	-0.5128812	0	Stg I	0.6838416	SNHG14	IGF2BP2
ENSG00000258768	ENSG00000073792	-0.6106357	0	Stg I	0.814180933333333	AL356019.2	IGF2BP2
ENSG00000223546	ENSG00000073792	0	0.4611275	Stg II	0.614836666666667	LINC00630	IGF2BP2
ENSG00000257337	ENSG00000073792	-0.5404773	0	Stg I	0.7206364	AC068888.1	IGF2BP2
ENSG00000245556	ENSG00000073792	-0.7325097	0	Stg I	0.9766796	SCAMP1-AS1	IGF2BP2
ENSG00000236144	ENSG00000073792	-0.5044072	0	Stg I	0.672542933333333	TMEM147-AS1	IGF2BP2
ENSG00000231889	ENSG00000073792	-0.6508088	0	Stg I	0.867745066666667	TRAF3IP2-AS1	IGF2BP2
ENSG00000233016	ENSG00000073792	-0.667272	0	Stg I	0.889696	SNHG7	IGF2BP2
ENSG00000196810	ENSG00000073792	-0.556306	0	Stg I	0.741741333333333	CTBP1-DT	IGF2BP2
ENSG00000227398	ENSG00000073792	-0.6524293	0	Stg I	0.869905733333333	KIF9-AS1	IGF2BP2
ENSG00000224281	ENSG00000073792	-0.6853319	-0.1989347	Stg I	0.6485296	SLC25A5-AS1	IGF2BP2
ENSG00000250742	ENSG00000073792	0.465148	0	Stg I	0.620197333333333	LINC02381	IGF2BP2
ENSG00000260464	ENSG00000073792	-0.6602349	-0.2098908	Stg I	0.6004588	AL049796.1	IGF2BP2
ENSG00000248559	ENSG00000073792	-0.562566	0	Stg I	0.750088	AC109454.2	IGF2BP2
ENSG00000253102	ENSG00000073792	0.455742	0	Stg I	0.607656	AC004707.1	IGF2BP2
ENSG00000261087	ENSG00000073792	-0.5824131	0	Stg I	0.7765508	ZNNT1	IGF2BP2
ENSG00000267575	ENSG00000073792	-0.5841268	0	Stg I	0.778835733333333	AC006504.5	IGF2BP2
ENSG00000247556	ENSG00000073792	0.5978293	0	Stg I	0.797105733333333	OIP5-AS1	IGF2BP2
ENSG00000254876	ENSG00000073792	-0.5334165	0	Stg I	0.711222	SUGT1P4-STRA6LP	IGF2BP2
ENSG00000264772	ENSG00000073792	-0.4672556	0	Stg I	0.623007466666667	AC016876.2	IGF2BP2
ENSG00000261342	ENSG00000073792	-0.6461457	0	Stg I	0.8615276	AC006538.1	IGF2BP2
ENSG00000259994	ENSG00000073792	-0.5784554	0	Stg I	0.771273866666667	AL353796.1	IGF2BP2
ENSG00000234327	ENSG00000073792	-0.661474	-0.2360223	Stg I	0.567268933333333	ZNF232-AS1	IGF2BP2
ENSG00000261167	ENSG00000073792	-0.594981	0	Stg I	0.793308	AC107027.3	IGF2BP2
ENSG00000258301	ENSG00000073792	-0.5291836	0	Stg I	0.705578133333333	VASH1-AS1	IGF2BP2
ENSG00000267632	ENSG00000073792	-0.5645315	0	Stg I	0.752708666666667	AC067852.3	IGF2BP2
ENSG00000234684	ENSG00000073792	-0.5993513	0	Stg I	0.799135066666667	SDCBP2-AS1	IGF2BP2
ENSG00000261061	ENSG00000073792	0.7272753	0.2371568	Stg I	0.653491333333333	AC092718.4	IGF2BP2
ENSG00000248968	ENSG00000073792	-0.43699	0	Stg I	0.582653333333333	AC012640.1	IGF2BP2
ENSG00000228470	ENSG00000136231	0.4944696	0	Stg I	0.6592928	AL929236.1	IGF2BP3
ENSG00000260032	ENSG00000136231	0	0.5378096	Stg II	0.717079466666667	NORAD	IGF2BP3
ENSG00000228794	ENSG00000136231	-0.4673127	0	Stg I	0.6230836	LINC01128	IGF2BP3
ENSG00000267575	ENSG00000136231	-0.5111558	0	Stg I	0.681541066666667	AC006504.5	IGF2BP3
ENSG00000233016	ENSG00000136231	-0.443711	0	Stg I	0.591614666666667	SNHG7	IGF2BP3
ENSG00000253738	ENSG00000136231	0	0.3804385	Stg II	0.507251333333333	OTUD6B-AS1	IGF2BP3
ENSG00000228889	ENSG00000136231	-0.5483084	0	Stg I	0.731077866666667	UBAC2-AS1	IGF2BP3
