lnc_id	gene_id	Stg.II	Stg.III	Stg.IV	stage	score	lnc_name	gene_name
ENSG00000226688	ENSG00000102081	0.4033188	0	0	Stg II	0.5377584	ENTPD1-AS1	FMR1
ENSG00000223546	ENSG00000129514	0.4454538	0	0	Stg II	0.5939384	LINC00630	FOXA1
ENSG00000231074	ENSG00000129514	0.3870179	0	0	Stg II	0.516023866666667	HCG18	FOXA1
ENSG00000226688	ENSG00000089280	0.5626996	0	0	Stg II	0.750266133333333	ENTPD1-AS1	FUS
ENSG00000267432	ENSG00000089280	0	0.4161578	0	Stg III	0.554877066666667	DNAH17-AS1	FUS
ENSG00000251562	ENSG00000138678	0	0.4704993	0	Stg III	0.6273324	MALAT1	GPAT3
ENSG00000268388	ENSG00000110422	0	0.3828937	0	Stg III	0.510524933333333	FENDRR	HIPK3
ENSG00000228436	ENSG00000122566	0.4121868	0	0	Stg II	0.5495824	AL139260.1	HNRNPA2B1
ENSG00000226688	ENSG00000122566	0.4724723	0	0	Stg II	0.629963066666667	ENTPD1-AS1	HNRNPA2B1
ENSG00000226688	ENSG00000092199	0.4343666	0	0	Stg II	0.579155466666667	ENTPD1-AS1	HNRNPC
ENSG00000234456	ENSG00000159217	0.7271828	0	0	Stg II	0.969577066666667	MAGI2-AS3	IGF2BP1
ENSG00000263753	ENSG00000159217	0.4484444	0	0	Stg II	0.597925866666667	LINC00667	IGF2BP1
ENSG00000212978	ENSG00000073792	0.462139	0	0	Stg II	0.616185333333333	AC016747.1	IGF2BP2
ENSG00000268388	ENSG00000115461	0	0.7327008	0.5658544	Stg III	0.599698133333333	FENDRR	IGFBP5
ENSG00000251562	ENSG00000138131	0	0.722627	0	Stg III	0.963502666666667	MALAT1	LOXL4
ENSG00000228436	ENSG00000167005	0.478171	0	0	Stg II	0.637561333333333	AL139260.1	NUDT21
ENSG00000268388	ENSG00000174740	0	0	0.4867535	Stg IV	0.649004666666667	FENDRR	PABPC5
ENSG00000251562	ENSG00000119938	0.3006847	0	0.5479964	Stg IV	0.5302054	MALAT1	PPP1R3C
ENSG00000268388	ENSG00000106538	0.5486826	0	0.2792813	Stg II	0.545389266666667	FENDRR	RARRES2
ENSG00000255236	ENSG00000004534	0	0	0.4220556	Stg IV	0.5627408	AP002992.1	RBM6
ENSG00000215458	ENSG00000004534	0	0.3766051	0	Stg III	0.502140133333333	AATBC	RBM6
ENSG00000197670	ENSG00000004534	0.3863381	0	0	Stg II	0.515117466666667	AL157838.1	RBM6
ENSG00000265399	ENSG00000004534	0	0	0.3854315	Stg IV	0.513908666666667	AP005329.2	RBM6
ENSG00000268388	ENSG00000170153	0	0.4011915	0.6527391	Stg IV	0.6028578	FENDRR	RNF150
ENSG00000233429	ENSG00000186350	0.1754853	0.472327	0	Stg III	0.512779133333333	HOTAIRM1	RXRA
ENSG00000268388	ENSG00000075213	0	0.6738961	0.2440124	Stg III	0.7358532	FENDRR	SEMA3A
ENSG00000268388	ENSG00000163069	0	0.4061613	0	Stg III	0.5415484	FENDRR	SGCB
ENSG00000251562	ENSG00000141258	0.5082555	0	0	Stg II	0.677674	MALAT1	SGSM2
ENSG00000251562	ENSG00000166888	0.4219823	0	0	Stg II	0.562643066666667	MALAT1	STAT6
ENSG00000214049	ENSG00000107882	0.4816997	0.1831897	0	Stg II	0.5201398	UCA1	SUFU
ENSG00000234456	ENSG00000147133	0.6164753	0	0	Stg II	0.821967066666667	MAGI2-AS3	TAF1
ENSG00000225733	ENSG00000116001	0.2000876	0.4763373	0	Stg III	0.501724666666667	FGD5-AS1	TIA1
ENSG00000260329	ENSG00000116001	0	0	0.4196766	Stg IV	0.5595688	AC007541.1	TIA1
ENSG00000246851	ENSG00000116001	0.4450806	0	0	Stg II	0.5934408	AL157938.3	TIA1
ENSG00000228549	ENSG00000116001	0	0	0.4074673	Stg IV	0.543289733333333	BX284668.2	TIA1
ENSG00000251562	ENSG00000196187	0.3939011	0	0	Stg II	0.525201466666667	MALAT1	TMEM63A
ENSG00000251562	ENSG00000163157	0.4048177	0	0	Stg II	0.539756933333333	MALAT1	TMOD4
ENSG00000268388	ENSG00000065308	0	0.3760065	0	Stg III	0.501342	FENDRR	TRAM2
ENSG00000268388	ENSG00000158022	0	0	0.5026877	Stg IV	0.670250266666667	FENDRR	TRIM63
ENSG00000228630	ENSG00000026025	0.3766857	0	0	Stg II	0.5022476	HOTAIR	VIM
ENSG00000224950	ENSG00000136709	0	0	0.3877374	Stg IV	0.5169832	AL390066.1	WDR33
ENSG00000248323	ENSG00000136709	0.441078	0	0	Stg II	0.588104	LUCAT1	WDR33
ENSG00000245694	ENSG00000178386	0	0.4276832	0	Stg III	0.570244266666667	CRNDE	ZNF223
ENSG00000251562	ENSG00000142556	0.3912026	0	0	Stg II	0.521603466666667	MALAT1	ZNF614
